Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;372186049;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582107853346;1582107853346;0;
0;0;0.0.0.0;0;56633;372186049;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1582107853347;1582107853346;1;
0;15;127.0.0.1;0;56633;372186049;347;985;10;1;0;1;127.0.0.1;0;8062;0;0;0;1582107861413;1582107853346;8067;
0;-1;0.0.0.0.;0;56633;372186049;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582107861415;1582107853346;8069;
