Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;1338955234;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108017618;1582108017618;0;
0;0;0.0.0.0;0;56670;1338955234;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1582108017619;1582108017618;1;
0;15;127.0.0.1;0;56670;1338955234;347;985;0;1;0;1;127.0.0.1;0;4;0;0;0;1582108017628;1582108017618;10;
0;-1;0.0.0.0.;0;56670;1338955234;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108017629;1582108017618;11;
