Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;281120149;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582107997645;1582107997645;0;
0;0;0.0.0.0;0;56662;281120149;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1582107997646;1582107997645;1;
0;15;127.0.0.1;0;56662;281120149;347;985;0;1;0;1;127.0.0.1;0;4;0;0;0;1582107997656;1582107997645;11;
0;-1;0.0.0.0.;0;56662;281120149;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582107997656;1582107997645;11;
