Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;1226375762;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581791615611;1581791615611;0;
0;0;0.0.0.0;0;50223;1226375762;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1581791615617;1581791615611;6;
0;15;127.0.0.1;0;50223;1226375762;347;985;5;1;0;1;127.0.0.1;0;7;0;0;0;1581791615641;1581791615611;30;
0;-1;0.0.0.0.;0;50223;1226375762;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581791615649;1581791615611;38;
