Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;347519882;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108315305;1582108315305;0;
0;0;0.0.0.0;0;56727;347519882;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1582108315306;1582108315305;1;
0;15;127.0.0.1;0;56727;347519882;347;985;10;1;0;1;127.0.0.1;0;14623;0;0;0;1582108329935;1582108315305;14630;
0;-1;0.0.0.0.;0;56727;347519882;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108329937;1582108315305;14632;
