Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;599624600;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581771494425;1581771494415;10;
0;0;0.0.0.0;0;63172;599624600;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1581771494432;1581771494415;17;
0;15;127.0.0.1;0;63172;599624600;347;985;11315;1;0;1;127.0.0.1;0;6986;0;0;0;1581771501440;1581771494415;7025;
0;-1;0.0.0.0.;0;63172;599624600;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581771501448;1581771494415;7033;
