Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;431279344;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108407837;1582108407836;1;
0;0;0.0.0.0;0;56748;431279344;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1582108407837;1582108407836;1;
0;15;127.0.0.1;0;56748;431279344;347;985;5;1;0;1;127.0.0.1;0;1388;0;0;0;1582108409230;1582108407836;1394;
0;-1;0.0.0.0.;0;56748;431279344;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108409231;1582108407836;1395;
