Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;2056951454;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581792344930;1581792344928;2;
0;0;0.0.0.0;0;49289;2056951454;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1581792344934;1581792344928;6;
0;15;127.0.0.1;0;49289;2056951454;347;985;10;1;0;1;127.0.0.1;0;30479;0;0;0;1581792375429;1581792344928;30501;
0;-1;0.0.0.0.;0;49289;2056951454;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581792375440;1581792344928;30512;
