Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;560136701;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582107721632;1582107721632;0;
0;0;0.0.0.0;0;56596;560136701;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1582107721633;1582107721632;1;
0;15;127.0.0.1;0;56596;560136701;347;985;10;1;0;1;127.0.0.1;0;5724;0;0;0;1582107727361;1582107721632;5729;
0;-1;0.0.0.0.;0;56596;560136701;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582107727363;1582107721632;5731;
