Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;1638758712;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108165706;1582108165706;0;
0;0;0.0.0.0;0;56708;1638758712;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1582108165707;1582108165706;1;
0;15;127.0.0.1;0;56708;1638758712;347;985;10;1;0;1;127.0.0.1;0;12400;0;0;0;1582108178111;1582108165706;12405;
0;-1;0.0.0.0.;0;56708;1638758712;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108178112;1582108165706;12406;
