Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;315682040;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108200169;1582108200168;1;
0;0;0.0.0.0;0;56717;315682040;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1582108200169;1582108200168;1;
0;15;127.0.0.1;0;56717;315682040;347;985;10;1;0;1;127.0.0.1;0;14582;0;0;0;1582108214757;1582108200168;14589;
0;-1;0.0.0.0.;0;56717;315682040;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108214758;1582108200168;14590;
