Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;1168317091;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581683257947;1581683257947;0;
0;0;0.0.0.0;0;59132;1168317091;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1581683257948;1581683257947;1;
0;15;127.0.0.1;0;59132;1168317091;347;985;11315;1;0;1;127.0.0.1;0;1391;0;0;0;1581683259344;1581683257947;1397;
0;-1;0.0.0.0.;0;59132;1168317091;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581683259347;1581683257947;1400;
