Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;439670221;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581771494848;1581771494845;3;
0;0;0.0.0.0;0;63177;439670221;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1581771494854;1581771494845;9;
0;15;127.0.0.1;0;63177;439670221;347;985;11315;1;0;1;127.0.0.1;0;7566;0;0;0;1581771502441;1581771494845;7596;
0;-1;0.0.0.0.;0;63177;439670221;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581771502457;1581771494845;7612;
