Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;402238390;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582117804023;1582117804023;0;
0;0;0.0.0.0;0;57564;402238390;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1582117804024;1582117804023;1;
0;15;127.0.0.1;0;57564;402238390;347;985;5;1;0;1;127.0.0.1;0;1366;0;0;0;1582117805395;1582117804023;1372;
