Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;620724788;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581791650138;1581791650135;3;
0;0;0.0.0.0;0;58211;620724788;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1581791650143;1581791650135;8;
0;15;127.0.0.1;0;58211;620724788;347;985;5;1;0;1;127.0.0.1;0;180;0;0;0;1581791650342;1581791650135;207;
0;-1;0.0.0.0.;0;58211;620724788;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581791650353;1581791650135;218;
