Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;357973869;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108368602;1582108368602;0;
0;0;0.0.0.0;0;56741;357973869;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1582108368603;1582108368602;1;
0;15;127.0.0.1;0;56741;357973869;347;985;10;1;0;1;127.0.0.1;0;14510;0;0;0;1582108383118;1582108368602;14516;
0;-1;0.0.0.0.;0;56741;357973869;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1582108383120;1582108368602;14518;
