Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;935607572;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581772025385;1581772025382;3;
0;0;0.0.0.0;0;58790;935607572;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1581772025395;1581772025382;13;
0;15;127.0.0.1;0;58790;935607572;347;985;5;1;0;1;127.0.0.1;0;6529;0;0;0;1581772031948;1581772025382;6566;
0;-1;0.0.0.0.;0;58790;935607572;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581772031956;1581772025382;6574;
