Role;MeasurePoint;LocalIP(String);IP(Zero);Port;AppIdentifier;Session;Trial;ResultSize;Serial;ReplicationID;Subserial;ExecutingHost;IntermediateComp;FinalComp;RetryCounter;HeartBeatCounter;HotRetryCounter;CurrentTime;SystemStart;Duration
0;-2;0.0.0.0;0;0;216050083;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581791594936;1581791594930;6;
0;0;0.0.0.0;0;51590;216050083;347;985;0;1;0;0;0.0.0.0;0;0;0;0;0;1581791594940;1581791594930;10;
0;15;127.0.0.1;0;51590;216050083;347;985;5;1;0;1;127.0.0.1;0;19;0;0;0;1581791594975;1581791594930;45;
0;-1;0.0.0.0.;0;51590;216050083;347;985;0;0;0;0;0.0.0.0;0;0;0;0;0;1581791594982;1581791594930;52;
